"Horizon" "Finland" "Germany" "Europe" "USA" "France" "Italy" "NL" "Sweden" "Date"
2 0.0389323108960635 -0.0762388229340399 0.0265514362172761 -0.189597603754939 0.0139995206487491 -0.104476293465124 0.0229363222908987 0.0524482292712287 "2026-03-31"
3 0.084223909299076 -0.0236483616874645 0.038788639847176 -0.10498964154782 0.0345115652608528 -0.0580034692565753 0.0367758950135457 0.0587443901093798 "2026-03-31"
4 0.0754406864487855 0.000456560510873505 0.0384924938489299 -0.0536891435419307 0.0426913645448761 -0.029671497134246 0.0333984644948015 0.0616856181632406 "2026-03-31"
5 0.0695781401158502 0.0238492187113162 0.0482607850871564 -0.0255690947885341 0.051273148607728 -0.00373337770931936 0.0189113587336556 0.0784872501194096 "2026-03-31"
6 0.0707201410735385 0.0308598027048814 0.050142581346609 -0.00526514395189448 0.0520943833509877 0.0056848621519785 0.0241970546219876 0.0792466354742705 "2026-03-31"
7 0.0679521614729135 0.0329123245889396 0.0469623226238092 0.00669280427986796 0.0486262803814639 0.00920219538109612 0.0242165183396739 0.0712130946287126 "2026-03-31"
8 0.0637004358899631 0.0383155937064936 0.0491801520580102 0.0140725855269717 0.0527919466419029 0.0179415025488787 0.0270566707924971 0.0739112913650104 "2026-03-31"
9 0.0630670832636415 0.0416698656592722 0.0499370164797723 0.0201316647131806 0.0532351925761942 0.0237321222176945 0.0337516285318513 0.0679669870250781 "2026-03-31"
10 0.0625736231370835 0.0452895375211761 0.0502143598172644 0.0254733776870162 0.0521138114215558 0.0282100150184443 0.0364391638725816 0.0672309704373464 "2026-03-31"
