"Horizon" "OMXH" "HDAX" "Stoxx600" "Russell3000" "CAC" "FTSE" "AEX" "OMXS" "Date"
2 0.0545263243653762 -0.08780312774703 -0.0278187212673324 -0.237978037670715 0.0467016521937138 -0.215370710862823 -0.0567706158453518 0.00854840204656382 "2026-07-31"
3 0.0664063171174483 -0.0489367174561672 -0.00650146833231868 -0.143084145896106 0.0532897786718038 -0.140463015269777 -0.0359949059183668 0.02150858720448 "2026-07-31"
4 0.0669826614253295 -0.0174313924948446 0.00330584090741914 -0.0742722978805248 0.0525212885430584 -0.0919422388012201 -0.0326158082438189 0.0357660882766206 "2026-07-31"
5 0.0889132604269791 0.0048668153066953 0.0265275075213296 -0.062301924601065 0.0651259358172251 -0.0571967572938998 -0.0109450395719157 0.0543455485117603 "2026-07-31"
6 0.0770482222980768 0.0165681626490293 0.0358296324109626 -0.0235774873023524 0.0721233732306734 -0.0363346411412366 0.00287523570421455 0.0701785326497157 "2026-07-31"
7 0.0629336365058728 0.0175094336497563 0.032055543753831 -0.018645950813968 0.0598051030619253 -0.0235228767098193 -0.000813440102151786 0.0525021062913213 "2026-07-31"
8 0.0599031367763894 0.0195701422048118 0.0353031552516641 -0.0158185680942879 0.0583517941200065 -0.0146318455373939 -0.000942586798794887 0.0528546655449358 "2026-07-31"
9 0.0618710006636924 0.0268035539597988 0.0373213946745374 -0.010010946303472 0.059811514103129 -0.00613859916306747 0.000811580829160663 0.0489516965916668 "2026-07-31"
10 NA NA NA NA NA NA NA NA "2026-07-31"
