"Horizon" "Finland" "Germany" "Europe" "USA" "France" "Italy" "NL" "Sweden" "Date"
2 0.0353222573285614 -0.0815536652486916 0.0188320673350167 -0.203195769201807 -0.0203743628236173 -0.106604272754012 0.0127491465135409 0.0412151537121664 "2025-12-31"
3 0.0693674976566811 -0.0333338263685852 0.025916387604598 -0.112720524901641 0.00829778558083728 -0.0607796108879371 0.0373885121903377 0.0371768624592652 "2025-12-31"
4 0.0692266434349641 -0.000801229516262925 0.0384498770856033 -0.0698865095151153 0.026886994970508 -0.0278523906220637 0.0168053065764151 0.0612327801740309 "2025-12-31"
5 0.0658682946935178 0.0185363146769038 0.0415228763336139 -0.0324881933982675 0.0384285895342556 -0.00670096021020644 0.0193819101519653 0.0660657085971311 "2025-12-31"
6 0.0644630281947055 0.029635709987434 0.0482763223133167 -0.0137192507466636 0.0428127845515972 0.00459397960951596 0.0228957208756682 0.0790021270674983 "2025-12-31"
7 0.065046913360525 0.028780834122525 0.0426007493118352 0.000954432018928552 0.0375035753528684 0.00524234347783958 0.0259478323487369 0.0680276428674415 "2025-12-31"
8 0.0625918561622887 0.0351743062015088 0.0452753652125248 0.00931480802419287 0.0432882317678209 0.0153424279667349 0.0293489262187043 0.0653998367071954 "2025-12-31"
9 0.0602487485416713 0.0387725369465497 0.0474673788441414 0.0144157034948511 0.045363019740907 0.021511805841598 0.0319138109280964 0.0683285824012972 "2025-12-31"
10 0.060748238040864 0.0428628410142641 0.0478626865722498 0.0200514913219591 0.0461988826853146 0.0262345408521271 0.0342169571502108 0.0633268528014692 "2025-12-31"
